iter	Passed	Remaining
846	1868	337
847	1870	335
848	1871	332
849	1878	331
850	1880	329
851	1881	326
852	1883	324
853	1885	322
854	1889	320
855	1891	318
856	1893	315
857	1894	313
858	1896	311
859	1897	308
860	1899	306
861	1900	304
862	1902	302
863	1904	299
864	1906	297
865	1908	295
866	1909	292
867	1911	290
868	1912	288
869	1914	286
870	1915	283
871	1919	281
872	1921	279
873	1923	277
874	1924	274
875	1926	272
876	1928	270
877	1929	268
878	1931	265
879	1934	263
880	1935	261
881	1937	259
882	1938	256
883	1940	254
884	1941	252
885	1942	249
886	1944	247
887	1945	245
888	1949	243
889	1951	241
890	1953	238
891	1954	236
892	1956	234
893	1957	232
894	1958	229
895	1960	227
896	1963	225
897	1965	223
898	1967	221
899	1969	218
900	1971	216
901	1973	214
902	1975	212
903	1977	209
904	1979	207
905	1980	205
906	1982	203
907	1983	200
908	1985	198
909	1986	196
910	1987	194
911	1989	191
912	1992	189
913	1994	187
914	1995	185
915	1997	183
916	1998	180
917	2000	178
918	2001	176
919	2003	174
920	2005	171
921	2009	169
922	2010	167
923	2012	165
924	2013	163
925	2015	161
926	2016	158
927	2018	156
928	2020	154
929	2022	152
930	2024	150
931	2026	147
932	2028	145
933	2029	143
934	2031	141
935	2033	139
936	2034	136
937	2038	134
938	2040	132
939	2041	130
940	2043	128
941	2044	125
942	2046	123
943	2047	121
944	2049	119
945	2051	117
946	2053	114
947	2055	112
948	2056	110
949	2058	108
950	2060	106
951	2061	103
952	2063	101
953	2064	99
954	2068	97
955	2070	95
956	2071	93
957	2073	90
958	2074	88
959	2076	86
960	2077	84
961	2079	82
962	2080	79
963	2082	77
964	2084	75
965	2086	73
966	2088	71
967	2089	69
968	2091	66
969	2092	64
970	2094	62
971	2098	60
972	2099	58
973	2101	56
974	2102	53
975	2104	51
976	2105	49
977	2107	47
978	2108	45
979	2111	43
980	2113	40
981	2115	38
982	2117	36
983	2118	34
984	2120	32
985	2121	30
986	2122	27
987	2125	25
988	2127	23
989	2128	21
990	2130	19
991	2131	17
992	2133	15
993	2134	12
994	2136	10
995	2137	8
996	2140	6
997	2142	4
998	2143	2
999	2145	0
